Ruta de imagen: casa      Nombre de casa: casoj     No de cuarto: 2       No de Cocina:         No de cuartos de servicio: 3        No de baños: 2       Precio Casa: 321.0        Metro Casa: 12.0
Ruta de imagen: www.gioogle.com      Nombre de casa: simple     No de cuarto: 3       No de Cocina:         No de cuartos de servicio: 4        No de baños: 1       Precio Casa: 150000.0        Metro Casa: 75.0
Ruta de imagen: lotes.com      Nombre de casa: villa espa�a     No de cuarto: 2       No de Cocina:         No de cuartos de servicio: si        No de baños: 2       Precio Casa: 35000.0        Metro Casa: 35.0
Ruta de imagen: lotes.com      Nombre de casa: simple     No de cuarto: 3       No de Cocina:         No de cuartos de servicio: 2        No de baños: 2       Precio Casa: 35000.0        Metro Casa: 34.0
Ruta de imagen: mm      Numero de Plantas: 21      Nombre de casa: mm     No de cuarto: 12       No de Cocina: 32        No de cuartos de servicio: 1        No de baños: 2       Precio Casa: 321.0        Metro Casa: 3.0
Ruta de imagen: mm      Numero de Plantas: 12      Nombre de casa: mm     No de cuarto: 32       No de Cocina: 421        No de cuartos de servicio: 12        No de baños: 321       Precio Casa: 312.0        Metro Casa: 21.0
Ruta de imagen: rr      Numero de Plantas: 2      Nombre de casa: modelo     No de cuarto: 321       No de Cocina: 2        No de cuartos de servicio: 3        No de baños: 22       Precio Casa: 123.0        Metro Casa: 33.0
Ruta de imagen: ggg      Numero de Plantas: 7      Nombre de casa: modelo     No de cuarto: 5       No de Cocina: 4        No de cuartos de servicio: 3        No de baños: 5       Precio Casa: 342.0        Metro Casa: 23.0
Ruta de imagen: google.com      Numero de Plantas: 2      Nombre de casa: xr     No de cuarto: 3       No de Cocina: S        No de cuartos de servicio: N        No de baños: 2       Precio Casa: 120000.0        Metro Casa: 750.0
Ruta de imagen: google.com      Numero de Plantas: 2      Nombre de casa: xw     No de cuarto: 3       No de Cocina: s        No de cuartos de servicio: n        No de baños: 1       Precio Casa: 120000.0        Metro Casa: 150.0
Ruta de imagen: sdoop      Numero de Plantas: 2      Nombre de casa: xw     No de cuarto: 3       No de Cocina: s        No de cuartos de servicio: n        No de baños: 1       Precio Casa: 120000.0        Metro Casa: 450.0
Ruta de imagen: gsdfs      Numero de Plantas: 32      Nombre de casa: xx     No de cuarto: 2       No de Cocina: n        No de cuartos de servicio: 1        No de baños: 2       Precio Casa: 32424.0        Metro Casa: 12.0
Ruta de imagen: fsad      Numero de Plantas: 2      Nombre de casa: dede     No de cuarto: 2       No de Cocina: s        No de cuartos de servicio: n        No de baños: 2       Precio Casa: 75000.0        Metro Casa: 150.0
Ruta de imagen: dnfsads      Numero de Plantas: 2      Nombre de casa: premium     No de cuarto: 3       No de Cocina: S        No de cuartos de servicio: S        No de baños: 2       Precio Casa: 120000.0        Metro Casa: 750.0
